date,PM10,site,code
1555437600.0,32.47,Strathfoyle Bawnmore Place,1
1555441200.0,36.45,Strathfoyle Bawnmore Place,1
1555444800.0,38.66,Strathfoyle Bawnmore Place,1
1555448400.0,37.08,Strathfoyle Bawnmore Place,1
1555452000.0,34.72,Strathfoyle Bawnmore Place,1
1555455600.0,40.52,Strathfoyle Bawnmore Place,1
1555459200.0,37.41,Strathfoyle Bawnmore Place,1
1555462800.0,40.57,Strathfoyle Bawnmore Place,1
1555466400.0,36.5,Strathfoyle Bawnmore Place,1
1555470000.0,37.7,Strathfoyle Bawnmore Place,1
1555473600.0,35.6,Strathfoyle Bawnmore Place,1
1555477200.0,36.24,Strathfoyle Bawnmore Place,1
1555480800.0,30.71,Strathfoyle Bawnmore Place,1
1555484400.0,35.83,Strathfoyle Bawnmore Place,1
1555488000.0,27.51,Strathfoyle Bawnmore Place,1
1555491600.0,29.01,Strathfoyle Bawnmore Place,1
1555495200.0,35.1,Strathfoyle Bawnmore Place,1
1555498800.0,32.52,Strathfoyle Bawnmore Place,1
1555502400.0,40.63,Strathfoyle Bawnmore Place,1
1555506000.0,36.66,Strathfoyle Bawnmore Place,1
1555509600.0,38.02,Strathfoyle Bawnmore Place,1
1555513200.0,36.5,Strathfoyle Bawnmore Place,1
1555516800.0,38.82,Strathfoyle Bawnmore Place,1
1555520400.0,42.61,Strathfoyle Bawnmore Place,1
1555524000.0,49.59,Strathfoyle Bawnmore Place,1
1555527600.0,44.45,Strathfoyle Bawnmore Place,1
1555531200.0,43.97,Strathfoyle Bawnmore Place,1
1555534800.0,38.74,Strathfoyle Bawnmore Place,1
1555538400.0,32.08,Strathfoyle Bawnmore Place,1
1555542000.0,37.99,Strathfoyle Bawnmore Place,1
1555545600.0,37.18,Strathfoyle Bawnmore Place,1
1555549200.0,31.8,Strathfoyle Bawnmore Place,1
1555552800.0,35.42,Strathfoyle Bawnmore Place,1
1555556400.0,34.1,Strathfoyle Bawnmore Place,1
1555560000.0,31.99,Strathfoyle Bawnmore Place,1
1555563600.0,30.25,Strathfoyle Bawnmore Place,1
1555567200.0,37.61,Strathfoyle Bawnmore Place,1
1555570800.0,46.65,Strathfoyle Bawnmore Place,1
1555574400.0,50.52,Strathfoyle Bawnmore Place,1
1555578000.0,67.8,Strathfoyle Bawnmore Place,1
1555581600.0,58.35,Strathfoyle Bawnmore Place,1
1555585200.0,54.58,Strathfoyle Bawnmore Place,1
1555588800.0,57.54,Strathfoyle Bawnmore Place,1
1555592400.0,58.93,Strathfoyle Bawnmore Place,1
1555596000.0,55.48,Strathfoyle Bawnmore Place,1
1555599600.0,53.42,Strathfoyle Bawnmore Place,1
1555603200.0,44.13,Strathfoyle Bawnmore Place,1
1555606800.0,47.6,Strathfoyle Bawnmore Place,1
1555610400.0,55.75,Strathfoyle Bawnmore Place,1
1555614000.0,53.89,Strathfoyle Bawnmore Place,1
1555617600.0,48.15,Strathfoyle Bawnmore Place,1
1555621200.0,50.54,Strathfoyle Bawnmore Place,1
1555624800.0,58.47,Strathfoyle Bawnmore Place,1
1555628400.0,55.05,Strathfoyle Bawnmore Place,1
1555632000.0,53.85,Strathfoyle Bawnmore Place,1
1555635600.0,52.52,Strathfoyle Bawnmore Place,1
1555639200.0,45.86,Strathfoyle Bawnmore Place,1
1555642800.0,43.64,Strathfoyle Bawnmore Place,1
